# theta values for 5
# numCat,1
# numFeat,14
# dataType,betDigit
# catNames,binary
# theta 1,mu 1,sigma 1
-3.774325522667647537e+00,0.000000000000000000e+00,1.000000000000000000e+00
-2.083764797224437193e-01,3.458333333333333481e+00,1.888837826107189422e+00
5.941858789151194253e-02,4.909722222222222321e+00,1.815875953471233428e+00
-3.186111477355106913e-01,3.798611111111111160e+00,1.861823557665049700e+00
-4.119716584859613451e-01,4.138888888888889284e+00,2.189340055026447907e+00
5.900263253047098866e-01,3.284722222222222321e+00,2.327860231236583033e+00
6.966278184700203102e-01,2.555555555555555358e+00,1.116652846791210019e+00
-3.048245647386690904e-01,2.798611111111111160e+00,1.004018738143471978e+00
-1.899644677581531882e+00,1.840277777777777679e+00,7.232564709973261508e-01
2.806013639607623511e-01,2.128472222222222321e+00,6.928366805352195179e-01
-8.182884336549556270e-01,2.319444444444444642e+00,6.836663596799426035e-01
9.201477853098766202e-01,2.052083333333333481e+00,8.823476221925737883e-01
-6.388131924567227449e-01,2.496527777777777679e+00,9.501398431023811986e-01
6.280715325937986648e-01,3.399305555555555358e+00,1.042632653948765808e+00
