# collated theta values
# numCat,10
# numFeat,14
# dataType,betDigit
# catNames,0,1,2,3,4,5,6,7,8,9
# theta 1,theta 2,theta 3,theta 4,theta 5,theta 6,theta 7,theta 8,theta 9,theta 10,mu 1,mu 2,mu 3,mu 4,mu 5,mu 6,mu 7,mu 8,mu 9,mu 10,sigma 1,sigma 2,sigma 3,sigma 4,sigma 5,sigma 6,sigma 7,sigma 8,sigma 9,sigma 10
-2.295507567017570416e+00,-2.265107362105318600e+00,-3.932366261500330307e+00,-3.972395978745138390e+00,-4.012258971375386452e+00,-3.774325522667647537e+00,-4.253186824960092594e+00,-4.222829257297076921e+00,-4.316942352923490489e+00,-4.323175170770052311e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.498314697373087201e-01,-3.439075899437749051e-01,3.157646881517179871e-01,-9.847996807496729454e-01,-1.861584817339010170e-02,-2.083764797224437193e-01,7.143521483871644318e-01,1.583421421783197669e-01,-1.960685836496635082e-01,-1.497409981314950789e-01,3.458333333333333481e+00,3.458333333333333481e+00,3.458333333333333481e+00,3.458333333333333481e+00,3.458333333333333481e+00,3.458333333333333481e+00,3.458333333333333481e+00,3.458333333333333481e+00,3.458333333333333481e+00,3.458333333333333481e+00,1.888837826107189422e+00,1.888837826107189422e+00,1.888837826107189422e+00,1.888837826107189422e+00,1.888837826107189422e+00,1.888837826107189422e+00,1.888837826107189422e+00,1.888837826107189422e+00,1.888837826107189422e+00,1.888837826107189422e+00
-1.707416338169399361e-01,1.117174332461744468e+00,-1.360180894942007723e-01,-6.415379709352536652e-01,-2.525001494404540137e-01,5.941858789151194253e-02,2.157112368541518055e-01,-1.569502396650524767e-01,6.578225712300574957e-01,-6.544861518838092085e-01,4.909722222222222321e+00,4.909722222222222321e+00,4.909722222222222321e+00,4.909722222222222321e+00,4.909722222222222321e+00,4.909722222222222321e+00,4.909722222222222321e+00,4.909722222222222321e+00,4.909722222222222321e+00,4.909722222222222321e+00,1.815875953471233650e+00,1.815875953471233650e+00,1.815875953471233428e+00,1.815875953471233428e+00,1.815875953471233428e+00,1.815875953471233428e+00,1.815875953471233428e+00,1.815875953471233428e+00,1.815875953471233650e+00,1.815875953471233428e+00
-5.463570119936931313e-01,1.108916723845293051e+00,-4.703459541661004217e-01,5.866162843902681390e-01,-2.588001376151116695e-01,-3.186111477355106913e-01,-7.326894189757003628e-02,-3.496849319294346309e-02,2.136994293064109762e-01,-2.266723337927579671e-02,3.798611111111111160e+00,3.798611111111111160e+00,3.798611111111111160e+00,3.798611111111111160e+00,3.798611111111111160e+00,3.798611111111111160e+00,3.798611111111111160e+00,3.798611111111111160e+00,3.798611111111111160e+00,3.798611111111111160e+00,1.861823557665049922e+00,1.861823557665049700e+00,1.861823557665049922e+00,1.861823557665049700e+00,1.861823557665049700e+00,1.861823557665049700e+00,1.861823557665049922e+00,1.861823557665049922e+00,1.861823557665049922e+00,1.861823557665049922e+00
-2.508348807870106056e-01,-1.026459788004091767e+00,4.048292856695958619e-01,1.199704542950871033e+00,3.439223189801951519e-01,-4.119716584859613451e-01,-2.122312564451346029e-01,-2.995523990617226517e-01,1.063459937251212684e-01,-3.000944627071968837e-02,4.138888888888889284e+00,4.138888888888889284e+00,4.138888888888889284e+00,4.138888888888889284e+00,4.138888888888889284e+00,4.138888888888889284e+00,4.138888888888889284e+00,4.138888888888889284e+00,4.138888888888889284e+00,4.138888888888889284e+00,2.189340055026447907e+00,2.189340055026447907e+00,2.189340055026447907e+00,2.189340055026447907e+00,2.189340055026447907e+00,2.189340055026447907e+00,2.189340055026447907e+00,2.189340055026447907e+00,2.189340055026447907e+00,2.189340055026447907e+00
8.317431519074726110e-01,-7.583498824828307505e-01,-2.371327333087218936e-01,1.188361420982381872e-01,-1.541931600884243747e-01,5.900263253047098866e-01,-3.375667611975563531e-01,-6.932718988820785189e-01,3.448335261721710565e-01,3.934604162152897100e-01,3.284722222222222321e+00,3.284722222222222321e+00,3.284722222222222321e+00,3.284722222222222321e+00,3.284722222222222321e+00,3.284722222222222321e+00,3.284722222222222321e+00,3.284722222222222321e+00,3.284722222222222321e+00,3.284722222222222321e+00,2.327860231236583477e+00,2.327860231236583477e+00,2.327860231236583477e+00,2.327860231236583033e+00,2.327860231236583477e+00,2.327860231236583033e+00,2.327860231236583477e+00,2.327860231236583477e+00,2.327860231236583477e+00,2.327860231236583477e+00
-8.657627441607801400e-02,-9.759876450353457411e-01,2.172801286597825232e-01,1.211833289362466114e-02,-5.086261883800433647e-01,6.966278184700203102e-01,-1.300691171028398319e-01,4.778932639705275598e-01,6.456919923625590307e-01,-5.970430520689973264e-01,2.555555555555555358e+00,2.555555555555555358e+00,2.555555555555555358e+00,2.555555555555555358e+00,2.555555555555555358e+00,2.555555555555555358e+00,2.555555555555555358e+00,2.555555555555555358e+00,2.555555555555555358e+00,2.555555555555555358e+00,1.116652846791210019e+00,1.116652846791210019e+00,1.116652846791210019e+00,1.116652846791210019e+00,1.116652846791210019e+00,1.116652846791210019e+00,1.116652846791210019e+00,1.116652846791210019e+00,1.116652846791210019e+00,1.116652846791210019e+00
1.055340282368737226e+00,3.161452664480003394e-01,-6.043957315053923862e-01,-1.073476950426767093e-02,-2.685434232839657431e-01,-3.048245647386690904e-01,-7.124367197756659165e-01,-2.369736812449253771e-01,6.967789130223489558e-01,6.129614871378278318e-01,2.798611111111111160e+00,2.798611111111111160e+00,2.798611111111111160e+00,2.798611111111111160e+00,2.798611111111111160e+00,2.798611111111111160e+00,2.798611111111111160e+00,2.798611111111111160e+00,2.798611111111111160e+00,2.798611111111111160e+00,1.004018738143471978e+00,1.004018738143471978e+00,1.004018738143471978e+00,1.004018738143471978e+00,1.004018738143471978e+00,1.004018738143471978e+00,1.004018738143471978e+00,1.004018738143471978e+00,1.004018738143471978e+00,1.004018738143471978e+00
1.741597497457610944e-01,-4.994763035378401578e-02,9.510972975602586255e-01,6.764105989912170269e-01,2.916266294099585377e-01,-1.899644677581531882e+00,-5.330462352091583922e-01,-1.552030315981136610e-01,1.229063543761823363e+00,-4.473155933046197297e-01,1.840277777777777679e+00,1.840277777777777679e+00,1.840277777777777679e+00,1.840277777777777679e+00,1.840277777777777679e+00,1.840277777777777679e+00,1.840277777777777679e+00,1.840277777777777679e+00,1.840277777777777679e+00,1.840277777777777679e+00,7.232564709973261508e-01,7.232564709973261508e-01,7.232564709973261508e-01,7.232564709973261508e-01,7.232564709973261508e-01,7.232564709973261508e-01,7.232564709973261508e-01,7.232564709973261508e-01,7.232564709973261508e-01,7.232564709973261508e-01
-2.838538973728206294e-01,1.381458390317857610e-01,-1.464513998698091513e+00,1.309769357222681396e+00,-3.473176034779096311e-01,2.806013639607623511e-01,9.422793820332167058e-01,-4.588648674975364106e-01,4.512746006897682682e-01,-4.685642549504699939e-01,2.128472222222222321e+00,2.128472222222222321e+00,2.128472222222222321e+00,2.128472222222222321e+00,2.128472222222222321e+00,2.128472222222222321e+00,2.128472222222222321e+00,2.128472222222222321e+00,2.128472222222222321e+00,2.128472222222222321e+00,6.928366805352194069e-01,6.928366805352194069e-01,6.928366805352194069e-01,6.928366805352194069e-01,6.928366805352194069e-01,6.928366805352195179e-01,6.928366805352194069e-01,6.928366805352194069e-01,6.928366805352194069e-01,6.928366805352195179e-01
