# theta values for 8
# numCat,1
# numFeat,21
# dataType,cardVal
# catNames,binary
# theta 1,mu 1,sigma 1
-4.079976126206299902e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.444293148716316866e-01,3.141025641025640969e+00,1.707632631589927952e+00
4.510540669287834703e-01,5.506410256410256387e+00,3.599317590007994561e+00
3.318991297832639929e-03,5.788461538461538325e+00,3.123545026179707751e+00
2.481119649545316941e-01,4.500000000000000000e+00,2.191182797322498654e+00
8.208699563002306299e-01,4.961538461538461675e+00,3.206333106854379000e+00
5.174959430619890943e-01,6.006410256410256387e+00,2.894505836376544572e+00
1.324606659757087579e+00,6.705128205128205288e+00,3.270336665641683904e+00
3.505253017603336407e-01,3.724358974358974450e+00,2.055554444977221618e+00
6.122777200673422682e-01,3.487179487179487225e+00,1.460976050134431103e+00
-3.273897915663558367e-01,2.878205128205128194e+00,1.287727817623504523e+00
4.584173816834167248e-01,2.634615384615384581e+00,1.405513586492352474e+00
-2.208816263537538745e-03,2.730769230769230838e+00,1.473466842683998967e+00
7.860416013443236594e-01,3.397435897435897356e+00,1.603999357293684591e+00
2.370481967670367285e-01,4.576923076923076650e+00,1.743259772698401155e+00
1.498936833125220913e-01,3.448717948717948900e+00,1.345909623755944695e+00
3.301425512644259874e-01,3.724358974358974450e+00,1.607569107453851620e+00
3.858788888711752740e-01,3.506410256410256387e+00,1.715303646856860986e+00
-2.027995237639929407e-02,3.820512820512820706e+00,1.943058583803392247e+00
-1.128432274811454750e-01,3.397435897435897356e+00,2.150371128312646540e+00
5.330457514217032955e-01,3.102564102564102644e+00,1.729011453075201654e+00
