# theta values for A
# numCat,1
# numFeat,21
# dataType,cardVal
# catNames,binary
# theta 1,mu 1,sigma 1
-3.398863899390183629e+00,0.000000000000000000e+00,1.000000000000000000e+00
-6.926949902540171511e-01,3.141025641025640969e+00,1.707632631589927952e+00
-5.968146991396144907e-01,5.506410256410256387e+00,3.599317590007995005e+00
-4.828682429704311274e-01,5.788461538461538325e+00,3.123545026179707751e+00
2.093022219164579218e-03,4.500000000000000000e+00,2.191182797322498654e+00
-4.441147236265675091e-01,4.961538461538461675e+00,3.206333106854379000e+00
6.417598486137179870e-02,6.006410256410256387e+00,2.894505836376545460e+00
1.643934995173881308e-01,6.705128205128205288e+00,3.270336665641684348e+00
-9.425509703124164140e-01,3.724358974358974450e+00,2.055554444977221618e+00
-2.064682863772085153e-01,3.487179487179487225e+00,1.460976050134431103e+00
-7.611813585730231591e-02,2.878205128205128194e+00,1.287727817623504523e+00
6.877681345421249315e-01,2.634615384615384581e+00,1.405513586492352696e+00
3.883427125285733861e-01,2.730769230769230838e+00,1.473466842683998523e+00
-5.329461442819922734e-01,3.397435897435897356e+00,1.603999357293684813e+00
2.589687700437085655e-02,4.576923076923076650e+00,1.743259772698401378e+00
2.177087223196205457e-01,3.448717948717948900e+00,1.345909623755944695e+00
9.358640480923197114e-01,3.724358974358974450e+00,1.607569107453851842e+00
-6.942888929234883877e-01,3.506410256410256387e+00,1.715303646856860986e+00
-1.580900886039666997e-01,3.820512820512820706e+00,1.943058583803392247e+00
4.546035211515082608e-01,3.397435897435897356e+00,2.150371128312646984e+00
3.639117995412858853e-01,3.102564102564102644e+00,1.729011453075201876e+00
