# theta values for J
# numCat,1
# numFeat,21
# dataType,cardVal
# catNames,binary
# theta 1,mu 1,sigma 1
-4.394979619695499551e+00,0.000000000000000000e+00,1.000000000000000000e+00
-6.302839493750862498e-01,3.141025641025640969e+00,1.707632631589927952e+00
-1.557131033227245609e-01,5.506410256410256387e+00,3.599317590007994561e+00
-1.225914961967471996e-02,5.788461538461538325e+00,3.123545026179707751e+00
-4.550348744200858331e-01,4.500000000000000000e+00,2.191182797322498654e+00
8.188689910963893315e-01,4.961538461538461675e+00,3.206333106854379000e+00
5.827017192929001554e-01,6.006410256410256387e+00,2.894505836376545460e+00
-6.253720157234384791e-01,6.705128205128205288e+00,3.270336665641684348e+00
1.950188883762668524e-01,3.724358974358974450e+00,2.055554444977222062e+00
-1.973115532590530019e-01,3.487179487179487225e+00,1.460976050134431103e+00
-2.397664324548067494e-01,2.878205128205128194e+00,1.287727817623504745e+00
1.818125233997342216e-01,2.634615384615384581e+00,1.405513586492352474e+00
2.905675565648841441e-01,2.730769230769230838e+00,1.473466842683998745e+00
1.424781909180452000e-01,3.397435897435897356e+00,1.603999357293684813e+00
-2.529757517662281074e-01,4.576923076923076650e+00,1.743259772698401378e+00
2.553227142120564341e-01,3.448717948717948900e+00,1.345909623755944695e+00
-9.666904994889796016e-03,3.724358974358974450e+00,1.607569107453851620e+00
2.264881845711149214e-02,3.506410256410256387e+00,1.715303646856860986e+00
-1.333467643720248619e-01,3.820512820512820706e+00,1.943058583803392247e+00
-2.958086151194521674e-01,3.397435897435897356e+00,2.150371128312646540e+00
3.362406432506524073e-02,3.102564102564102644e+00,1.729011453075201654e+00
