# theta values for K
# numCat,1
# numFeat,21
# dataType,cardVal
# catNames,binary
# theta 1,mu 1,sigma 1
-3.919974519874375840e+00,0.000000000000000000e+00,1.000000000000000000e+00
-7.193843099068689684e-01,3.141025641025640969e+00,1.707632631589927952e+00
4.799479344299949490e-01,5.506410256410256387e+00,3.599317590007994561e+00
8.260027280576315301e-01,5.788461538461538325e+00,3.123545026179708195e+00
-1.407379784312073612e-01,4.500000000000000000e+00,2.191182797322498654e+00
-4.273031098238005421e-01,4.961538461538461675e+00,3.206333106854379000e+00
2.350070153097286729e-01,6.006410256410256387e+00,2.894505836376544572e+00
-3.886038182290301179e-01,6.705128205128205288e+00,3.270336665641684348e+00
4.442328695496484681e-01,3.724358974358974450e+00,2.055554444977222062e+00
-2.523727668280033587e-01,3.487179487179487225e+00,1.460976050134431103e+00
-1.804598178135566888e-01,2.878205128205128194e+00,1.287727817623504745e+00
-3.058714356755672936e-01,2.634615384615384581e+00,1.405513586492352474e+00
-1.643817377682741665e-01,2.730769230769230838e+00,1.473466842683998745e+00
1.733546111094979025e-01,3.397435897435897356e+00,1.603999357293684591e+00
3.051151728958824139e-01,4.576923076923076650e+00,1.743259772698401155e+00
2.641466537030805542e-02,3.448717948717948900e+00,1.345909623755944695e+00
4.101948777760816567e-01,3.724358974358974450e+00,1.607569107453851620e+00
-1.481589269827597033e-01,3.506410256410256387e+00,1.715303646856860986e+00
9.288854769998954389e-03,3.820512820512820706e+00,1.943058583803392469e+00
6.862089942622162653e-01,3.397435897435897356e+00,2.150371128312646540e+00
-9.518088913160783759e-01,3.102564102564102644e+00,1.729011453075201654e+00
