# theta values for Q
# numCat,1
# numFeat,21
# dataType,cardVal
# catNames,binary
# theta 1,mu 1,sigma 1
-3.844459701721203881e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.946989328831129962e-01,3.141025641025640969e+00,1.707632631589927952e+00
1.846753535974391125e-01,5.506410256410256387e+00,3.599317590007994561e+00
-2.427195776738978739e-01,5.788461538461538325e+00,3.123545026179707751e+00
-8.549202249036631507e-01,4.500000000000000000e+00,2.191182797322498654e+00
-1.889023147630469190e-01,4.961538461538461675e+00,3.206333106854379000e+00
-1.009995614062007829e-01,6.006410256410256387e+00,2.894505836376544572e+00
-8.644933738359547037e-01,6.705128205128205288e+00,3.270336665641684348e+00
4.787488261562421465e-01,3.724358974358974450e+00,2.055554444977222062e+00
2.916480883941413582e-01,3.487179487179487225e+00,1.460976050134431103e+00
6.373422725246769005e-01,2.878205128205128194e+00,1.287727817623504523e+00
5.047369278814807236e-01,2.634615384615384581e+00,1.405513586492352696e+00
3.290300938562789046e-01,2.730769230769230838e+00,1.473466842683998523e+00
-2.474319085397991974e-02,3.397435897435897356e+00,1.603999357293684591e+00
-3.644960187992579703e-01,4.576923076923076650e+00,1.743259772698400933e+00
-5.353825705511169181e-02,3.448717948717948900e+00,1.345909623755944695e+00
5.089056575305557217e-01,3.724358974358974450e+00,1.607569107453851620e+00
3.054984163880055670e-01,3.506410256410256387e+00,1.715303646856860986e+00
2.597365336959203685e-01,3.820512820512820706e+00,1.943058583803392247e+00
-2.096046716875397953e-01,3.397435897435897356e+00,2.150371128312646540e+00
3.891005465424071663e-01,3.102564102564102644e+00,1.729011453075201654e+00
