# collated theta values
# numCat,13
# numFeat,21
# dataType,cardVal
# catNames,2,3,4,5,6,7,8,9,10,J,Q,K,A
# theta 1,theta 2,theta 3,theta 4,theta 5,theta 6,theta 7,theta 8,theta 9,theta 10,theta 11,theta 12,theta 13,mu 1,mu 2,mu 3,mu 4,mu 5,mu 6,mu 7,mu 8,mu 9,mu 10,mu 11,mu 12,mu 13,sigma 1,sigma 2,sigma 3,sigma 4,sigma 5,sigma 6,sigma 7,sigma 8,sigma 9,sigma 10,sigma 11,sigma 12,sigma 13
-3.979002983715030251e+00,-4.000401472687298288e+00,-3.840889579772787332e+00,-3.750781466708513534e+00,-4.178689432423081662e+00,-4.283172883054763957e+00,-4.079976126206299902e+00,-4.113057083952443627e+00,-4.305266575842922272e+00,-4.394979619695499551e+00,-3.844459701721203881e+00,-3.919974519874375840e+00,-3.398863899390183629e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.394709496362005696e-01,1.045334498044392380e+00,-1.940440697435485140e-01,-2.381042084597190245e-01,8.010471389053751556e-01,-2.170910238309576856e-01,-1.444293148716316866e-01,1.478480136645164977e-01,-1.807471794037052992e-01,-6.302839493750862498e-01,7.946989328831129962e-01,-7.193843099068689684e-01,-6.926949902540171511e-01,3.141025641025640969e+00,3.141025641025640969e+00,3.141025641025640969e+00,3.141025641025640969e+00,3.141025641025640969e+00,3.141025641025640969e+00,3.141025641025640969e+00,3.141025641025640969e+00,3.141025641025640969e+00,3.141025641025640969e+00,3.141025641025640969e+00,3.141025641025640969e+00,3.141025641025640969e+00,1.707632631589927952e+00,1.707632631589927952e+00,1.707632631589927952e+00,1.707632631589927952e+00,1.707632631589927952e+00,1.707632631589927952e+00,1.707632631589927952e+00,1.707632631589927952e+00,1.707632631589927952e+00,1.707632631589927952e+00,1.707632631589927952e+00,1.707632631589927952e+00,1.707632631589927952e+00
9.986032425871833873e-02,-5.344817739814937685e-01,-2.979297812534923984e-01,1.641506982668169135e-01,6.213698410899404223e-01,1.070698749910714842e-01,4.510540669287834703e-01,-1.004553995712153813e-01,-3.279876059231600083e-01,-1.557131033227245609e-01,1.846753535974391125e-01,4.799479344299949490e-01,-5.968146991396144907e-01,5.506410256410256387e+00,5.506410256410256387e+00,5.506410256410256387e+00,5.506410256410256387e+00,5.506410256410256387e+00,5.506410256410256387e+00,5.506410256410256387e+00,5.506410256410256387e+00,5.506410256410256387e+00,5.506410256410256387e+00,5.506410256410256387e+00,5.506410256410256387e+00,5.506410256410256387e+00,3.599317590007994561e+00,3.599317590007994561e+00,3.599317590007994561e+00,3.599317590007994561e+00,3.599317590007994561e+00,3.599317590007994561e+00,3.599317590007994561e+00,3.599317590007994561e+00,3.599317590007994561e+00,3.599317590007994561e+00,3.599317590007994561e+00,3.599317590007994561e+00,3.599317590007995005e+00
-1.698758389397632129e-01,-2.449292248709200592e-01,-3.098473426830636868e-01,-6.290952045734009290e-02,4.209939566079148876e-01,-1.164568071347590050e-01,3.318991297832639929e-03,-1.936728632912834980e-01,3.501365110402371306e-01,-1.225914961967471996e-02,-2.427195776738978739e-01,8.260027280576315301e-01,-4.828682429704311274e-01,5.788461538461538325e+00,5.788461538461538325e+00,5.788461538461538325e+00,5.788461538461538325e+00,5.788461538461538325e+00,5.788461538461538325e+00,5.788461538461538325e+00,5.788461538461538325e+00,5.788461538461538325e+00,5.788461538461538325e+00,5.788461538461538325e+00,5.788461538461538325e+00,5.788461538461538325e+00,3.123545026179708195e+00,3.123545026179708195e+00,3.123545026179708195e+00,3.123545026179708195e+00,3.123545026179708195e+00,3.123545026179707751e+00,3.123545026179707751e+00,3.123545026179708195e+00,3.123545026179708195e+00,3.123545026179707751e+00,3.123545026179707751e+00,3.123545026179708195e+00,3.123545026179707751e+00
3.361888608135168988e-01,5.467507487667883082e-01,-5.257326659240323385e-01,1.931855316455509952e-01,1.091639806233631743e-01,-1.897690539533560539e-01,2.481119649545316941e-01,5.164180841536107625e-02,7.257701731575532111e-01,-4.550348744200858331e-01,-8.549202249036631507e-01,-1.407379784312073612e-01,2.093022219164579218e-03,4.500000000000000000e+00,4.500000000000000000e+00,4.500000000000000000e+00,4.500000000000000000e+00,4.500000000000000000e+00,4.500000000000000000e+00,4.500000000000000000e+00,4.500000000000000000e+00,4.500000000000000000e+00,4.500000000000000000e+00,4.500000000000000000e+00,4.500000000000000000e+00,4.500000000000000000e+00,2.191182797322498654e+00,2.191182797322498654e+00,2.191182797322498654e+00,2.191182797322498654e+00,2.191182797322498654e+00,2.191182797322498654e+00,2.191182797322498654e+00,2.191182797322498654e+00,2.191182797322498654e+00,2.191182797322498654e+00,2.191182797322498654e+00,2.191182797322498654e+00,2.191182797322498654e+00
3.006485641117092600e-01,3.971954264992278993e-01,-1.521172784870329919e-01,-4.667832965181453048e-02,-7.628149545514538443e-02,-4.701369846796780161e-01,8.208699563002306299e-01,-1.520766809889921856e-01,-1.018754317922751090e-01,8.188689910963893315e-01,-1.889023147630469190e-01,-4.273031098238005421e-01,-4.441147236265675091e-01,4.961538461538461675e+00,4.961538461538461675e+00,4.961538461538461675e+00,4.961538461538461675e+00,4.961538461538461675e+00,4.961538461538461675e+00,4.961538461538461675e+00,4.961538461538461675e+00,4.961538461538461675e+00,4.961538461538461675e+00,4.961538461538461675e+00,4.961538461538461675e+00,4.961538461538461675e+00,3.206333106854379000e+00,3.206333106854379000e+00,3.206333106854379000e+00,3.206333106854379000e+00,3.206333106854379000e+00,3.206333106854379000e+00,3.206333106854379000e+00,3.206333106854379000e+00,3.206333106854378556e+00,3.206333106854379000e+00,3.206333106854379000e+00,3.206333106854379000e+00,3.206333106854379000e+00
2.021962961260238001e-01,4.568753013363888726e-01,-2.748173857469479731e-01,3.659282645951643653e-01,-4.962446788160094768e-01,-3.755653582409105296e-01,5.174959430619890943e-01,-3.476117468586845671e-01,-3.268761902692831067e-01,5.827017192929001554e-01,-1.009995614062007829e-01,2.350070153097286729e-01,6.417598486137179870e-02,6.006410256410256387e+00,6.006410256410256387e+00,6.006410256410256387e+00,6.006410256410256387e+00,6.006410256410256387e+00,6.006410256410256387e+00,6.006410256410256387e+00,6.006410256410256387e+00,6.006410256410256387e+00,6.006410256410256387e+00,6.006410256410256387e+00,6.006410256410256387e+00,6.006410256410256387e+00,2.894505836376544572e+00,2.894505836376544572e+00,2.894505836376544572e+00,2.894505836376544572e+00,2.894505836376544572e+00,2.894505836376544572e+00,2.894505836376544572e+00,2.894505836376544572e+00,2.894505836376545016e+00,2.894505836376545460e+00,2.894505836376544572e+00,2.894505836376544572e+00,2.894505836376545460e+00
1.455784289014810107e-01,8.408660526987196682e-02,6.046977041649980178e-01,-2.050480852944813470e-01,-5.170334656634244935e-02,9.033176106660593951e-03,1.324606659757087579e+00,5.467326263344302051e-01,-1.943870868892286774e-01,-6.253720157234384791e-01,-8.644933738359547037e-01,-3.886038182290301179e-01,1.643934995173881308e-01,6.705128205128205288e+00,6.705128205128205288e+00,6.705128205128205288e+00,6.705128205128205288e+00,6.705128205128205288e+00,6.705128205128205288e+00,6.705128205128205288e+00,6.705128205128205288e+00,6.705128205128205288e+00,6.705128205128205288e+00,6.705128205128205288e+00,6.705128205128205288e+00,6.705128205128205288e+00,3.270336665641684348e+00,3.270336665641684348e+00,3.270336665641684348e+00,3.270336665641684348e+00,3.270336665641684348e+00,3.270336665641684348e+00,3.270336665641683904e+00,3.270336665641684348e+00,3.270336665641684348e+00,3.270336665641684348e+00,3.270336665641684348e+00,3.270336665641684348e+00,3.270336665641684348e+00
4.213703497562776290e-02,6.839852841488612833e-01,-5.576890126705850298e-02,-1.183756001563804894e+00,-5.804857345231744237e-01,4.740270372830732160e-01,3.505253017603336407e-01,-1.356114016837297875e-01,9.415350738984866463e-02,1.950188883762668524e-01,4.787488261562421465e-01,4.442328695496484681e-01,-9.425509703124164140e-01,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,3.724358974358974450e+00,2.055554444977222062e+00,2.055554444977222062e+00,2.055554444977222062e+00,2.055554444977221618e+00,2.055554444977222062e+00,2.055554444977221618e+00,2.055554444977221618e+00,2.055554444977222062e+00,2.055554444977221618e+00,2.055554444977222062e+00,2.055554444977222062e+00,2.055554444977222062e+00,2.055554444977221618e+00
-3.799078901750744808e-01,-8.128757151340419707e-02,-2.045759665399972949e-01,4.090461079336354389e-01,-5.127006500156464641e-01,6.509448110120451547e-01,6.122777200673422682e-01,-4.614193006998043023e-01,2.789817298123018485e-01,-1.973115532590530019e-01,2.916480883941413582e-01,-2.523727668280033587e-01,-2.064682863772085153e-01,3.487179487179487225e+00,3.487179487179487225e+00,3.487179487179487225e+00,3.487179487179487225e+00,3.487179487179487225e+00,3.487179487179487225e+00,3.487179487179487225e+00,3.487179487179487225e+00,3.487179487179487225e+00,3.487179487179487225e+00,3.487179487179487225e+00,3.487179487179487225e+00,3.487179487179487225e+00,1.460976050134431103e+00,1.460976050134431103e+00,1.460976050134431103e+00,1.460976050134431103e+00,1.460976050134431103e+00,1.460976050134431103e+00,1.460976050134431103e+00,1.460976050134431103e+00,1.460976050134431103e+00,1.460976050134431103e+00,1.460976050134431103e+00,1.460976050134431103e+00,1.460976050134431103e+00
