# theta values for commCard
# numCat,1
# numFeat,40
# dataType,commCard
# catNames,binary
# theta 1,mu 1,sigma 1
-4.897844651701124818e-02,0.000000000000000000e+00,1.000000000000000000e+00
2.424118242512464660e-01,2.648071794871794737e+03,1.374560310109217198e+03
2.858084123907119745e-01,2.888789743589743466e+03,1.447161994333572920e+03
2.564882001634914976e-01,2.744671794871794646e+03,1.424359010122550217e+03
2.700752786650863491e-01,2.795282051282051270e+03,1.440177808621933536e+03
2.907543347575707315e-01,3.004764102564102359e+03,1.578359529983856874e+03
2.730522676249921288e-01,2.871092307692307713e+03,1.516871879616600154e+03
2.865639621141387039e-01,2.981184615384615427e+03,1.571896974757090447e+03
2.943984007902866740e-01,3.149871794871794918e+03,1.721450652114666127e+03
2.792558495181530764e-01,3.040728205128204991e+03,1.684008387510130888e+03
2.890311091507831720e-01,3.173323076923076769e+03,1.781488591968416131e+03
2.968226847365222354e-01,3.304594871794871779e+03,1.882433216706058147e+03
2.863113065813288061e-01,3.230717948717948730e+03,1.865030618415301433e+03
2.834396873313039245e-01,3.229820512820512704e+03,1.882191424252045181e+03
2.962462056903537033e-01,3.343348717948717876e+03,1.928721559156418607e+03
2.874179928282060703e-01,3.291758974358974228e+03,1.927633784870276486e+03
2.802728785116362364e-01,3.148082051282051452e+03,1.806464324964695152e+03
2.936065449616215295e-01,3.248497435897435935e+03,1.838525357730772839e+03
2.870128964326323362e-01,3.213769230769230944e+03,1.839899351505032428e+03
2.949568105673236462e-01,3.325446153846153720e+03,1.917783758544348984e+03
2.966376983905416043e-01,3.398256410256410163e+03,1.988818333841231379e+03
2.982104306851575126e-01,3.383199999999999818e+03,1.958685814257702532e+03
2.927593647944582989e-01,3.267487179487179674e+03,1.867076415721468720e+03
2.972063487804277315e-01,3.338292307692307531e+03,1.918182837116288965e+03
2.922106246996265533e-01,3.321199999999999818e+03,1.913214346161708818e+03
2.930494908785249430e-01,3.362066666666666606e+03,1.971131415480464057e+03
2.982382560171467079e-01,3.442871794871794918e+03,2.026495228656749987e+03
2.909447461748554398e-01,3.416569230769230671e+03,2.016221360221200712e+03
2.888342824973679779e-01,3.319692307692307622e+03,1.952025409064425048e+03
2.976958312983506438e-01,3.429841025641025681e+03,2.016478687664235167e+03
2.898774455360146329e-01,3.388369230769230853e+03,1.977509590777591484e+03
2.847488162935918887e-01,3.058717948717948730e+03,1.680619778056831137e+03
2.951199594455725661e-01,3.202020512820512977e+03,1.781899329393230573e+03
2.859694699151445474e-01,3.144984615384615608e+03,1.712641116706915000e+03
2.718516462283573909e-01,2.752646153846153993e+03,1.391409634948959592e+03
2.900082779481628070e-01,2.938010256410256261e+03,1.515768854544658780e+03
2.734521654636635768e-01,2.864241025641025772e+03,1.440344270940012848e+03
2.553772941637805216e-01,2.665697435897435753e+03,1.360856885312014583e+03
2.879920712682087491e-01,2.891533333333333303e+03,1.466467282251646338e+03
2.584126676270009915e-01,2.801441025641025590e+03,1.424793307676221502e+03
