# theta values for 4
# numCat,1
# numFeat,17
# dataType,digit
# catNames,binary
# theta 1,mu 1,sigma 1
-3.910505354704752801e+00,0.000000000000000000e+00,1.000000000000000000e+00
-2.701394741708034938e-02,4.228882833787466211e+00,1.909943749946959146e+00
-8.581856802121413663e-01,5.756130790190735702e+00,2.445411487928308869e+00
-1.147467684130155374e-01,5.712534059945504339e+00,1.998754614518226447e+00
1.181887079495285015e-01,5.396457765667574513e+00,2.429280623211098611e+00
7.256586518606884528e-01,5.659400544959128254e+00,2.801043532732271579e+00
1.902540794841085237e-01,6.051771117166212299e+00,3.135459650093972428e+00
-2.187332749104172747e-01,3.322888283378746532e+00,1.106381955346401602e+00
-2.089207349418258641e-01,4.614441416893733106e+00,9.452930293925561056e-01
5.064728081240562618e-01,2.482288828337874786e+00,7.629622418693114971e-01
-6.655905869173019129e-02,2.505449591280653809e+00,7.997600130799434881e-01
-2.951355628587269964e-01,3.143051771117166382e+00,1.169538186433789040e+00
2.312674481107987179e-01,3.513623978201634745e+00,1.242615111920531090e+00
6.969805928106432846e-01,2.944141689373296789e+00,1.182703346609858874e+00
6.559121456585271792e-01,2.506811989100817595e+00,1.150444731003327448e+00
-2.202343837635561963e-02,3.162125340599454937e+00,1.478136338793161197e+00
-6.256834396797903430e-01,4.610354223433242637e+00,1.351435460420168377e+00
