# theta values for A
# numCat,1
# numFeat,17
# dataType,digit
# catNames,binary
# theta 1,mu 1,sigma 1
-4.465819530713820207e+00,0.000000000000000000e+00,1.000000000000000000e+00
-3.669284342813268762e-01,4.228882833787466211e+00,1.909943749946959146e+00
1.648967589268574008e-01,5.756130790190735702e+00,2.445411487928309313e+00
-2.750011240732966322e-01,5.712534059945504339e+00,1.998754614518226447e+00
-7.244411702684751264e-02,5.396457765667574513e+00,2.429280623211098611e+00
-2.680192868352441193e-01,5.659400544959128254e+00,2.801043532732271579e+00
6.855770916091145917e-02,6.051771117166212299e+00,3.135459650093972428e+00
-1.754336200116486111e-01,3.322888283378746532e+00,1.106381955346401602e+00
-1.555355456719742235e-01,4.614441416893733106e+00,9.452930293925561056e-01
-5.540334334376940950e-02,2.482288828337874786e+00,7.629622418693114971e-01
-2.838313136092781019e-01,2.505449591280653809e+00,7.997600130799434881e-01
2.657923415748135731e-01,3.143051771117166382e+00,1.169538186433788818e+00
-5.587277814927750219e-01,3.513623978201634745e+00,1.242615111920531312e+00
2.679231543201924803e-01,2.944141689373296789e+00,1.182703346609858652e+00
-1.630421849221388719e-01,2.506811989100817595e+00,1.150444731003327670e+00
-2.265892038514221718e-01,3.162125340599454937e+00,1.478136338793161197e+00
-2.660471583630887316e-01,4.610354223433242637e+00,1.351435460420168377e+00
