# theta values for S
# numCat,1
# numFeat,17
# dataType,digit
# catNames,binary
# theta 1,mu 1,sigma 1
-4.001029277159643627e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.668393084867775933e-01,4.228882833787466211e+00,1.909943749946959146e+00
6.202851474074001954e-03,5.756130790190735702e+00,2.445411487928309313e+00
-5.144877717115980964e-01,5.712534059945504339e+00,1.998754614518226447e+00
7.993453569882117415e-01,5.396457765667574513e+00,2.429280623211099055e+00
7.915151515540345128e-01,5.659400544959128254e+00,2.801043532732271579e+00
-1.131881352335226909e+00,6.051771117166212299e+00,3.135459650093972428e+00
-3.784918311378703271e-01,3.322888283378746532e+00,1.106381955346401380e+00
1.544538091147605596e-01,4.614441416893733106e+00,9.452930293925561056e-01
2.086642672280599742e-01,2.482288828337874786e+00,7.629622418693114971e-01
1.623186458974072988e-01,2.505449591280653809e+00,7.997600130799434881e-01
6.085031115618536601e-01,3.143051771117166382e+00,1.169538186433789040e+00
-5.146563455526623754e-01,3.513623978201634745e+00,1.242615111920531534e+00
8.132667124438049955e-01,2.944141689373296789e+00,1.182703346609858874e+00
-8.294282491170684724e-01,2.506811989100817595e+00,1.150444731003327670e+00
5.168025161508816856e-01,3.162125340599454937e+00,1.478136338793161197e+00
2.903738059199015842e-01,4.610354223433242637e+00,1.351435460420168377e+00
