# collated theta values
# numCat,12
# numFeat,17
# dataType,digit
# catNames,0,1,2,3,4,5,6,7,8,9,A,S
# theta 1,theta 2,theta 3,theta 4,theta 5,theta 6,theta 7,theta 8,theta 9,theta 10,theta 11,theta 12,mu 1,mu 2,mu 3,mu 4,mu 5,mu 6,mu 7,mu 8,mu 9,mu 10,mu 11,mu 12,sigma 1,sigma 2,sigma 3,sigma 4,sigma 5,sigma 6,sigma 7,sigma 8,sigma 9,sigma 10,sigma 11,sigma 12
-3.718514480436317271e+00,-3.303688308943596219e+00,-4.094993916042532156e+00,-4.124902555386416481e+00,-3.910505354704752801e+00,-4.372297288868447929e+00,-4.271214957635456777e+00,-4.183758273141079620e+00,-4.036091115906963012e+00,-3.690743311283087191e+00,-4.465819530713820207e+00,-4.001029277159643627e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.246776687708393450e+00,-2.693343433849914592e-01,-4.494848209541812412e-01,-1.224571362258102925e+00,-2.701394741708034938e-02,8.689294127083676544e-01,2.539601565555136831e-01,-4.340337181513327369e-01,-7.346431772645943825e-01,8.749859764333172141e-01,-3.669284342813268762e-01,8.668393084867775933e-01,4.228882833787466211e+00,4.228882833787466211e+00,4.228882833787466211e+00,4.228882833787466211e+00,4.228882833787466211e+00,4.228882833787466211e+00,4.228882833787466211e+00,4.228882833787466211e+00,4.228882833787466211e+00,4.228882833787466211e+00,4.228882833787466211e+00,4.228882833787466211e+00,1.909943749946959146e+00,1.909943749946959146e+00,1.909943749946959146e+00,1.909943749946959146e+00,1.909943749946959146e+00,1.909943749946959146e+00,1.909943749946959146e+00,1.909943749946959146e+00,1.909943749946959146e+00,1.909943749946959146e+00,1.909943749946959146e+00,1.909943749946959146e+00
5.994316243276773815e-01,-4.229672262081691780e-01,-2.879792868553185947e-01,-1.906340176726235569e-01,-8.581856802121413663e-01,-4.863186034892473808e-01,1.726889268389462939e-01,3.576565864926734561e-01,1.307728154473164706e+00,-2.132880908689588351e-01,1.648967589268574008e-01,6.202851474074001954e-03,5.756130790190735702e+00,5.756130790190735702e+00,5.756130790190735702e+00,5.756130790190735702e+00,5.756130790190735702e+00,5.756130790190735702e+00,5.756130790190735702e+00,5.756130790190735702e+00,5.756130790190735702e+00,5.756130790190735702e+00,5.756130790190735702e+00,5.756130790190735702e+00,2.445411487928308869e+00,2.445411487928308869e+00,2.445411487928308869e+00,2.445411487928308869e+00,2.445411487928308869e+00,2.445411487928309313e+00,2.445411487928308869e+00,2.445411487928308869e+00,2.445411487928308869e+00,2.445411487928309313e+00,2.445411487928309313e+00,2.445411487928309313e+00
-8.226333044801731331e-01,1.193515638419560210e+00,3.879753620284578930e-02,-4.581301088816055467e-01,-1.147467684130155374e-01,-6.015832901214547279e-01,7.467780945724865616e-01,2.907970213175535834e-01,1.179911145738597789e+00,-4.440913901077873094e-01,-2.750011240732966322e-01,-5.144877717115980964e-01,5.712534059945504339e+00,5.712534059945504339e+00,5.712534059945504339e+00,5.712534059945504339e+00,5.712534059945504339e+00,5.712534059945504339e+00,5.712534059945504339e+00,5.712534059945504339e+00,5.712534059945504339e+00,5.712534059945504339e+00,5.712534059945504339e+00,5.712534059945504339e+00,1.998754614518226447e+00,1.998754614518226447e+00,1.998754614518226447e+00,1.998754614518226447e+00,1.998754614518226447e+00,1.998754614518226447e+00,1.998754614518226447e+00,1.998754614518226447e+00,1.998754614518226447e+00,1.998754614518226225e+00,1.998754614518226447e+00,1.998754614518226447e+00
-9.002567843509342582e-01,5.390969327739472128e-01,1.857669661982732645e-01,-4.863947642344748079e-01,1.181887079495285015e-01,5.198380406593156033e-01,-1.008427718790176064e-01,-3.324022341425669214e-01,1.229476060765038042e-01,1.820963384134180463e-01,-7.244411702684751264e-02,7.993453569882117415e-01,5.396457765667574513e+00,5.396457765667574513e+00,5.396457765667574513e+00,5.396457765667574513e+00,5.396457765667574513e+00,5.396457765667574513e+00,5.396457765667574513e+00,5.396457765667574513e+00,5.396457765667574513e+00,5.396457765667574513e+00,5.396457765667574513e+00,5.396457765667574513e+00,2.429280623211099055e+00,2.429280623211098611e+00,2.429280623211098611e+00,2.429280623211099055e+00,2.429280623211098611e+00,2.429280623211098611e+00,2.429280623211099055e+00,2.429280623211098611e+00,2.429280623211098611e+00,2.429280623211099055e+00,2.429280623211098611e+00,2.429280623211099055e+00
-9.892974254189302874e-01,-9.519102028050050457e-01,7.962203858853283966e-01,9.374538841463074812e-01,7.256586518606884528e-01,2.143131893113407183e-01,-5.062835620165158090e-01,-3.319214025067512286e-01,3.971510969731152918e-01,-9.908964139574010233e-01,-2.680192868352441193e-01,7.915151515540345128e-01,5.659400544959128254e+00,5.659400544959128254e+00,5.659400544959128254e+00,5.659400544959128254e+00,5.659400544959128254e+00,5.659400544959128254e+00,5.659400544959128254e+00,5.659400544959128254e+00,5.659400544959128254e+00,5.659400544959128254e+00,5.659400544959128254e+00,5.659400544959128254e+00,2.801043532732271579e+00,2.801043532732271579e+00,2.801043532732271579e+00,2.801043532732271579e+00,2.801043532732271579e+00,2.801043532732271579e+00,2.801043532732271579e+00,2.801043532732271579e+00,2.801043532732271579e+00,2.801043532732271579e+00,2.801043532732271579e+00,2.801043532732271579e+00
6.031776139542561338e-02,-4.280584379487015756e-01,3.343616191227294365e-01,5.825810698615083716e-01,1.902540794841085237e-01,-6.872328756523036208e-01,6.198960131797126571e-01,-1.542747822383586098e-01,-5.199877202426633760e-01,4.195588648541715426e-01,6.855770916091145917e-02,-1.131881352335226909e+00,6.051771117166212299e+00,6.051771117166212299e+00,6.051771117166212299e+00,6.051771117166212299e+00,6.051771117166212299e+00,6.051771117166212299e+00,6.051771117166212299e+00,6.051771117166212299e+00,6.051771117166212299e+00,6.051771117166212299e+00,6.051771117166212299e+00,6.051771117166212299e+00,3.135459650093972872e+00,3.135459650093972428e+00,3.135459650093972872e+00,3.135459650093972428e+00,3.135459650093972428e+00,3.135459650093972428e+00,3.135459650093972428e+00,3.135459650093972428e+00,3.135459650093972428e+00,3.135459650093972428e+00,3.135459650093972428e+00,3.135459650093972428e+00
-7.925758156143130062e-01,-7.937572817630927924e-01,-5.467002250045191469e-02,2.188675009496815205e-01,-2.187332749104172747e-01,2.293514218603787680e-01,7.895107555431508939e-02,1.109000634986768485e+00,4.261841638624969120e-01,-4.186507708285948093e-01,-1.754336200116486111e-01,-3.784918311378703271e-01,3.322888283378746532e+00,3.322888283378746532e+00,3.322888283378746532e+00,3.322888283378746532e+00,3.322888283378746532e+00,3.322888283378746532e+00,3.322888283378746532e+00,3.322888283378746532e+00,3.322888283378746532e+00,3.322888283378746532e+00,3.322888283378746532e+00,3.322888283378746532e+00,1.106381955346401602e+00,1.106381955346401602e+00,1.106381955346401602e+00,1.106381955346401602e+00,1.106381955346401602e+00,1.106381955346401602e+00,1.106381955346401602e+00,1.106381955346401602e+00,1.106381955346401602e+00,1.106381955346401602e+00,1.106381955346401602e+00,1.106381955346401380e+00
-5.467455197535738831e-01,-6.047468988393166489e-01,6.823104782490438946e-01,-1.073757732667252746e-01,-2.089207349418258641e-01,-1.772108984453316938e-01,-2.019341960825010163e-01,4.023122053000573461e-01,-9.178302881833950988e-02,8.742173753776665279e-01,-1.555355456719742235e-01,1.544538091147605596e-01,4.614441416893733106e+00,4.614441416893733106e+00,4.614441416893733106e+00,4.614441416893733106e+00,4.614441416893733106e+00,4.614441416893733106e+00,4.614441416893733106e+00,4.614441416893733106e+00,4.614441416893733106e+00,4.614441416893733106e+00,4.614441416893733106e+00,4.614441416893733106e+00,9.452930293925561056e-01,9.452930293925561056e-01,9.452930293925561056e-01,9.452930293925561056e-01,9.452930293925561056e-01,9.452930293925561056e-01,9.452930293925561056e-01,9.452930293925561056e-01,9.452930293925561056e-01,9.452930293925561056e-01,9.452930293925561056e-01,9.452930293925561056e-01
4.483971928086380454e-01,4.028226370827274472e-02,-3.006385093427634339e-02,-3.809592773341977101e-01,5.064728081240562618e-01,-7.707409452192918176e-01,-2.309459107519541976e-01,6.346537365897560179e-02,-1.286622135940678202e-01,7.414693736162992765e-01,-5.540334334376940950e-02,2.086642672280599742e-01,2.482288828337874786e+00,2.482288828337874786e+00,2.482288828337874786e+00,2.482288828337874786e+00,2.482288828337874786e+00,2.482288828337874786e+00,2.482288828337874786e+00,2.482288828337874786e+00,2.482288828337874786e+00,2.482288828337874786e+00,2.482288828337874786e+00,2.482288828337874786e+00,7.629622418693114971e-01,7.629622418693114971e-01,7.629622418693114971e-01,7.629622418693114971e-01,7.629622418693114971e-01,7.629622418693114971e-01,7.629622418693113861e-01,7.629622418693114971e-01,7.629622418693114971e-01,7.629622418693114971e-01,7.629622418693114971e-01,7.629622418693114971e-01
