number of categories,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
number of features,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data type,digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category names,0,1,2,3,4,5,6,7,8,9,A,S,,,,,,,,,,,,,,,,,,,,,,,
comments,blah blah blah blah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theta 1,Theta 2,Theta 3,Theta 4,Theta 5,Theta 6,Theta 7,Theta 8,Theta 9,Theta 10,Theta 11,Theta 12,Mu 1,Mu 2,Mu 3,Mu 4,Mu 5,Mu 6,Mu 7,Mu 8,Mu 9,Mu 10,Mu 11,Mu 12,Sigma 1,Sigma 2,Sigma 3,Sigma 4,Sigma 5,Sigma 6,Sigma 7,Sigma 8,Sigma 9,Sigma 10,Sigma 11,Sigma 12
-5.27E+00,-4.63E+00,-5.73E+00,-5.83E+00,-5.45E+00,-6.37E+00,-6.01E+00,-5.74E+00,-5.70E+00,-5.29E+00,-6.19E+00,-5.89E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
1.95E+00,-2.53E-01,-6.93E-01,-1.93E+00,3.07E-01,1.39E+00,2.96E-01,-7.38E-01,-1.25E+00,1.53E+00,-8.74E-01,1.74E+00,4.23E+00,4.23E+00,4.23E+00,4.23E+00,4.23E+00,4.23E+00,4.23E+00,4.23E+00,4.23E+00,4.23E+00,4.23E+00,4.23E+00,1.91E+00,1.91E+00,1.91E+00,1.91E+00,1.91E+00,1.91E+00,1.91E+00,1.91E+00,1.91E+00,1.91E+00,1.91E+00,1.91E+00
8.34E-01,-5.87E-01,-4.89E-01,-2.15E-01,-1.55E+00,-8.30E-01,7.55E-02,5.83E-01,2.22E+00,-3.57E-01,6.53E-01,2.07E-01,5.76E+00,5.76E+00,5.76E+00,5.76E+00,5.76E+00,5.76E+00,5.76E+00,5.76E+00,5.76E+00,5.76E+00,5.76E+00,5.76E+00,2.45E+00,2.45E+00,2.45E+00,2.45E+00,2.45E+00,2.45E+00,2.45E+00,2.45E+00,2.45E+00,2.45E+00,2.45E+00,2.45E+00
-1.16E+00,1.70E+00,1.00E-01,-5.77E-01,-4.18E-02,-9.51E-01,1.21E+00,5.74E-01,1.86E+00,-7.14E-01,-6.41E-01,-9.78E-01,5.71E+00,5.71E+00,5.71E+00,5.71E+00,5.71E+00,5.71E+00,5.71E+00,5.71E+00,5.71E+00,5.71E+00,5.71E+00,5.71E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00
-1.27E+00,6.71E-01,3.32E-01,-8.15E-01,1.41E-01,7.29E-01,-1.74E-01,-5.25E-01,1.27E-01,3.36E-01,-1.31E-01,1.68E+00,5.40E+00,5.40E+00,5.40E+00,5.40E+00,5.40E+00,5.40E+00,5.40E+00,5.40E+00,5.40E+00,5.40E+00,5.40E+00,5.40E+00,2.43E+00,2.43E+00,2.43E+00,2.43E+00,2.43E+00,2.43E+00,2.43E+00,2.43E+00,2.43E+00,2.43E+00,2.43E+00,2.43E+00
-1.49E+00,-1.30E+00,1.16E+00,1.33E+00,1.27E+00,1.73E-01,-9.34E-01,-5.03E-01,6.56E-01,-1.68E+00,-7.12E-01,1.51E+00,5.66E+00,5.66E+00,5.66E+00,5.66E+00,5.66E+00,5.66E+00,5.66E+00,5.66E+00,5.66E+00,5.66E+00,5.66E+00,5.66E+00,2.80E+00,2.80E+00,2.80E+00,2.80E+00,2.80E+00,2.80E+00,2.80E+00,2.80E+00,2.80E+00,2.80E+00,2.80E+00,2.80E+00
-3.62E-03,-5.45E-01,5.70E-01,8.88E-01,1.98E-01,-9.23E-01,1.17E+00,-2.01E-01,-9.96E-01,5.94E-01,2.41E-01,-2.43E+00,6.05E+00,6.05E+00,6.05E+00,6.05E+00,6.05E+00,6.05E+00,6.05E+00,6.05E+00,6.05E+00,6.05E+00,6.05E+00,6.05E+00,3.14E+00,3.14E+00,3.14E+00,3.14E+00,3.14E+00,3.14E+00,3.14E+00,3.14E+00,3.14E+00,3.14E+00,3.14E+00,3.14E+00
-1.29E+00,-1.03E+00,-1.30E-01,2.61E-01,-2.15E-01,2.46E-01,-8.02E-03,1.67E+00,7.87E-01,-5.26E-01,-3.95E-01,-8.76E-01,3.32E+00,3.32E+00,3.32E+00,3.32E+00,3.32E+00,3.32E+00,3.32E+00,3.32E+00,3.32E+00,3.32E+00,3.32E+00,3.32E+00,1.11E+00,1.11E+00,1.11E+00,1.11E+00,1.11E+00,1.11E+00,1.11E+00,1.11E+00,1.11E+00,1.11E+00,1.11E+00,1.11E+00
