# theta values for holeCard
# numCat,1
# numFeat,40
# dataType,holeCard
# catNames,binary
# theta 1,mu 1,sigma 1
-1.257481641872765010e+00,0.000000000000000000e+00,1.000000000000000000e+00
-2.759678015624906222e-01,3.658610091743119483e+03,9.287459776983248503e+02
-2.306645079729655878e-01,3.711798165137614887e+03,7.892931140033765587e+02
-4.739410508069580863e-01,4.021151376146789062e+03,8.806348419133121297e+02
-4.978545103808862393e-02,3.813756880733944854e+03,8.468107738831515690e+02
4.470938924289717675e-02,3.869743119266055146e+03,7.632831535835168779e+02
-3.305083150285922367e-01,4.185949541284403495e+03,7.738243537660474658e+02
1.500221563657302692e-01,4.008325688073394304e+03,8.370506212596297928e+02
2.443685988849501056e-01,4.058752293577981618e+03,7.936212111044682160e+02
-1.484964786659421776e-01,4.388766055045871326e+03,7.615036099862245464e+02
2.650872100977539891e-01,4.223518348623852944e+03,9.035656138159904458e+02
3.382699978099027449e-01,4.263798165137614887e+03,8.684915720021899688e+02
7.459197308566810000e-03,4.622004587155963236e+03,8.149546252788321681e+02
3.217235956272201380e-01,4.335192660550458641e+03,9.040573576942882710e+02
3.855659030536831011e-01,4.366862385321101101e+03,8.654539559500202586e+02
8.866552882497889809e-02,4.760513761467889708e+03,7.479544534859867326e+02
3.120777126338220575e-01,4.353922018348624078e+03,8.172153199983239347e+02
3.720620685663543759e-01,4.377490825688073528e+03,7.711692554543611777e+02
5.118184009478940477e-02,4.800600917431193011e+03,6.338373965933685668e+02
4.053390412599673365e-01,4.457000000000000000e+03,8.070277384589713847e+02
4.399159891676842626e-01,4.473293577981651651e+03,7.940929255209540543e+02
1.900266368711066856e-01,4.916793577981651651e+03,5.372747221996592089e+02
3.581191408301615531e-01,4.469155963302751843e+03,7.401252457153268551e+02
4.142016455225857041e-01,4.482848623853211393e+03,6.864294801461418274e+02
7.407934714824823685e-02,4.926376146788990809e+03,5.046188731482863545e+02
3.548953362500824049e-01,4.598683486238532168e+03,7.905158609569723467e+02
3.946515229132106506e-01,4.611894495412843753e+03,7.587192811471040841e+02
1.184170994683218237e-01,5.053871559633027573e+03,5.497287755087395453e+02
4.139991032051738018e-01,4.638811926605504595e+03,7.234695687601354166e+02
4.551856478913429149e-01,4.655532110091743561e+03,7.106118834982581802e+02
1.491986044527188748e-01,5.084591743119265630e+03,5.097248343182964163e+02
2.516438027229784824e-01,4.503261467889908090e+03,5.813516127866065517e+02
3.618368599094317628e-01,4.529454128440366731e+03,5.058694851136946227e+02
-1.653174620900902392e-01,4.941839449541284012e+03,5.432080944321224933e+02
-2.720985600031032292e-01,4.340178899082568932e+03,6.141082070885121311e+02
-2.726048356351597479e-01,4.382293577981651651e+03,3.995067441015369241e+02
-5.427385517668433801e-01,4.776871559633027573e+03,6.954653197866934988e+02
-5.942786941944153689e-01,4.348532110091743561e+03,7.317402791461635161e+02
-7.927959685665368905e-01,4.402045871559633269e+03,4.559100866071203200e+02
-7.555047654836255511e-01,4.784779816513761034e+03,7.601620162628316848e+02
