# collated theta values
# numCat,4
# numFeat,10
# dataType,suit
# catNames,club,diamond,heart,spade
# theta 1,theta 2,theta 3,theta 4,mu 1,mu 2,mu 3,mu 4,sigma 1,sigma 2,sigma 3,sigma 4
-2.154848334368294704e+00,-2.618328399895468284e+00,-1.808192469178250050e+00,-2.475576954992858347e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-3.391579108020782996e-01,-6.638939723764805123e-01,1.047208141358773936e+00,1.356940327361658843e-02,3.551282051282051100e+00,3.551282051282051100e+00,3.551282051282051100e+00,3.551282051282051100e+00,8.936734316842792625e-01,8.936734316842792625e-01,8.936734316842793735e-01,8.936734316842792625e-01
-3.391579108020782996e-01,-6.638939723764805123e-01,1.047208141358773936e+00,1.356940327361658843e-02,5.275641025641025550e+00,5.275641025641025550e+00,5.275641025641025550e+00,5.275641025641025550e+00,4.468367158421396312e-01,4.468367158421396312e-01,4.468367158421396867e-01,4.468367158421396312e-01
-1.030806955297388638e+00,-2.255085464623691471e-01,3.535985423654611215e-01,9.176888852741397207e-01,6.288461538461538325e+00,6.288461538461538325e+00,6.288461538461538325e+00,6.288461538461538325e+00,1.276059717398391857e+00,1.276059717398391857e+00,1.276059717398391857e+00,1.276059717398391857e+00
-8.902429705028974682e-01,1.690372606010067669e+00,1.369455904601753482e-01,-9.972639921585259026e-01,7.532051282051281937e+00,7.532051282051281937e+00,7.532051282051281937e+00,7.532051282051281937e+00,1.469431565461719158e+00,1.469431565461719602e+00,1.469431565461719602e+00,1.469431565461719380e+00
-6.689851639636523739e-01,-1.672145506818947691e+00,-5.415409701672175835e-01,2.920648576490160409e+00,8.217948717948717174e+00,8.217948717948717174e+00,8.217948717948717174e+00,8.217948717948717174e+00,1.297408026456496444e+00,1.297408026456496444e+00,1.297408026456496444e+00,1.297408026456496444e+00
-8.148815435395508899e-01,2.417215177786447455e+00,4.762445841045260392e-02,-1.738794216088708655e+00,7.769230769230769162e+00,7.769230769230769162e+00,7.769230769230769162e+00,7.769230769230769162e+00,1.067264378885508291e+00,1.067264378885508291e+00,1.067264378885508513e+00,1.067264378885508291e+00
-1.030806955297388638e+00,-2.255085464623691471e-01,3.535985423654611215e-01,9.176888852741397207e-01,6.288461538461538325e+00,6.288461538461538325e+00,6.288461538461538325e+00,6.288461538461538325e+00,1.276059717398391857e+00,1.276059717398391857e+00,1.276059717398391857e+00,1.276059717398391857e+00
-3.391579108020782996e-01,-6.638939723764805123e-01,1.047208141358773936e+00,1.356940327361658843e-02,5.275641025641025550e+00,5.275641025641025550e+00,5.275641025641025550e+00,5.275641025641025550e+00,4.468367158421396312e-01,4.468367158421396312e-01,4.468367158421396867e-01,4.468367158421396312e-01
1.597380873678508340e-01,-5.869586127625242566e-01,9.269127742041561868e-01,-4.463290227186538228e-01,3.788461538461538325e+00,3.788461538461538325e+00,3.788461538461538325e+00,3.788461538461538325e+00,8.473912863078386648e-01,8.473912863078387758e-01,8.473912863078388868e-01,8.473912863078386648e-01
