# theta values for club
# numCat,1
# numFeat,10
# dataType,suit
# catNames,binary
# theta 1,mu 1,sigma 1
-2.154848334368294704e+00,0.000000000000000000e+00,1.000000000000000000e+00
-3.391579108020782996e-01,3.551282051282051100e+00,8.936734316842792625e-01
-3.391579108020782996e-01,5.275641025641025550e+00,4.468367158421396312e-01
-1.030806955297388638e+00,6.288461538461538325e+00,1.276059717398391857e+00
-8.902429705028974682e-01,7.532051282051281937e+00,1.469431565461719158e+00
-6.689851639636523739e-01,8.217948717948717174e+00,1.297408026456496444e+00
-8.148815435395508899e-01,7.769230769230769162e+00,1.067264378885508291e+00
-1.030806955297388638e+00,6.288461538461538325e+00,1.276059717398391857e+00
-3.391579108020782996e-01,5.275641025641025550e+00,4.468367158421396312e-01
1.597380873678508340e-01,3.788461538461538325e+00,8.473912863078386648e-01
