# theta values for diamond
# numCat,1
# numFeat,10
# dataType,suit
# catNames,binary
# theta 1,mu 1,sigma 1
-2.618328399895468284e+00,0.000000000000000000e+00,1.000000000000000000e+00
-6.638939723764805123e-01,3.551282051282051100e+00,8.936734316842792625e-01
-6.638939723764805123e-01,5.275641025641025550e+00,4.468367158421396312e-01
-2.255085464623691471e-01,6.288461538461538325e+00,1.276059717398391857e+00
1.690372606010067669e+00,7.532051282051281937e+00,1.469431565461719602e+00
-1.672145506818947691e+00,8.217948717948717174e+00,1.297408026456496444e+00
2.417215177786447455e+00,7.769230769230769162e+00,1.067264378885508291e+00
-2.255085464623691471e-01,6.288461538461538325e+00,1.276059717398391857e+00
-6.638939723764805123e-01,5.275641025641025550e+00,4.468367158421396312e-01
-5.869586127625242566e-01,3.788461538461538325e+00,8.473912863078387758e-01
