# theta values for heart
# numCat,1
# numFeat,10
# dataType,suit
# catNames,binary
# theta 1,mu 1,sigma 1
-1.808192469178250050e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.047208141358773936e+00,3.551282051282051100e+00,8.936734316842793735e-01
1.047208141358773936e+00,5.275641025641025550e+00,4.468367158421396867e-01
3.535985423654611215e-01,6.288461538461538325e+00,1.276059717398391857e+00
1.369455904601753482e-01,7.532051282051281937e+00,1.469431565461719602e+00
-5.415409701672175835e-01,8.217948717948717174e+00,1.297408026456496444e+00
4.762445841045260392e-02,7.769230769230769162e+00,1.067264378885508513e+00
3.535985423654611215e-01,6.288461538461538325e+00,1.276059717398391857e+00
1.047208141358773936e+00,5.275641025641025550e+00,4.468367158421396867e-01
9.269127742041561868e-01,3.788461538461538325e+00,8.473912863078388868e-01
