# theta values for spade
# numCat,1
# numFeat,10
# dataType,suit
# catNames,binary
# theta 1,mu 1,sigma 1
-2.475576954992858347e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.356940327361658843e-02,3.551282051282051100e+00,8.936734316842792625e-01
1.356940327361658843e-02,5.275641025641025550e+00,4.468367158421396312e-01
9.176888852741397207e-01,6.288461538461538325e+00,1.276059717398391857e+00
-9.972639921585259026e-01,7.532051282051281937e+00,1.469431565461719380e+00
2.920648576490160409e+00,8.217948717948717174e+00,1.297408026456496444e+00
-1.738794216088708655e+00,7.769230769230769162e+00,1.067264378885508291e+00
9.176888852741397207e-01,6.288461538461538325e+00,1.276059717398391857e+00
1.356940327361658843e-02,5.275641025641025550e+00,4.468367158421396312e-01
-4.463290227186538228e-01,3.788461538461538325e+00,8.473912863078386648e-01
